MediaKey,AssetID,Exists
originals/SIMPLESAHUR 4k Masters/FINAL 4K/30.PESTO PASTA.mov,9db10ef3-ce6d-419c-96bf-df9ad4fa8ea9,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/29.ALOO PARATHA.mov,cfb0e20d-8057-4d6d-93e0-c0215d2465c0,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/28.INDONESIAN FRIED RICE.mov,14395be3-7588-4e86-ba2e-9f50245afee2,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/27.CANNED LENTILS WITH RICE.mov,62f1e573-99b8-4a39-ba1f-2805ef6d3073,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/15.PESTO AND SCRAMBLED EGGS.mov,c4b94d05-14fb-4a20-83da-ca001a6c5d07,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/CLEAN 4K/1.BANANA TOAST_(CLEAN).mov,36da5e8e-7cf6-429c-b747-55037791cb51,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/CLEAN 4K/1O.GRILLED CHICKEN SANDWICH_(CLEAN).mov,3efc3120-2995-47a9-85d1-c84e110db390,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/CLEAN 4K/2.SMOKED SALMON AVOCADO_(CLEAN) .mov,276234dd-c53a-444e-b12d-f0a72cd0bc90,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/CLEAN 4K/30.PESTO PASTA.mov,e30f839c-0946-4964-97c8-590f027530be,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/CLEAN 4K/29.ALOO PARATHA.mov,16af9cd2-ad46-4612-b990-dacd7ff658e3,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/CLEAN 4K/3.CHICKEN POKE BOWL_(CLEAN).mov,148f47f6-7bb7-4e9e-ac05-236d4ead0706,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/CLEAN 4K/28.INDONESIAN FRIED RICE.mov,47aa4343-1bea-4dbb-878b-e3ba18bae483,true
